iter	Logloss
0	0.6791918187
1	0.6687531372
2	0.6605092816
3	0.6533114657
4	0.6448276
5	0.6388924652
6	0.6328474734
7	0.6293784351
8	0.625551976
9	0.6223894138
10	0.6174910123
11	0.6142527109
12	0.6104924051
13	0.6059548258
14	0.6032313195
15	0.6005417456
16	0.5964019138
17	0.5941494985
18	0.5911062066
19	0.5885004593
20	0.5845508259
21	0.5826987222
22	0.5796446551
23	0.577973824
24	0.5759365911
25	0.5747557492
26	0.5718670735
27	0.5686232141
28	0.5656040884
29	0.5640103139
30	0.5625048402
31	0.5602580881
32	0.5574575257
33	0.5536378021
34	0.5524834102
35	0.5513951716
36	0.5501164174
37	0.5482189296
38	0.5452243024
39	0.5443085263
40	0.542607547
41	0.5410316874
42	0.5396120122
43	0.5375688463
44	0.5353077308
45	0.5346010482
46	0.5333756859
47	0.5310016748
48	0.5292887008
49	0.5269322822
50	0.5248460468
51	0.5232146542
52	0.5226923832
53	0.5194863289
54	0.5175130383
55	0.5159361305
56	0.5142184695
57	0.5114887661
58	0.507925117
59	0.5070306684
60	0.5036336997
61	0.5028657276
62	0.500888729
63	0.499270676
64	0.4970341786
65	0.4954208649
66	0.4950642984
67	0.4943025453
68	0.4933464217
69	0.4925744105
70	0.49131114
71	0.4898666946
72	0.4892249607
73	0.4873867753
74	0.4859720904
75	0.4844398381
76	0.4825210567
77	0.4813627213
78	0.4802878983
79	0.4794966884
80	0.4786408552
81	0.4777270757
82	0.4762016184
83	0.4754951252
84	0.4741831456
85	0.4722720204
86	0.4710093803
87	0.4698454003
88	0.4676699649
89	0.4661011998
90	0.4651198674
91	0.4635222358
92	0.4627620297
93	0.4606945532
94	0.4596749869
95	0.4573304455
96	0.4558746229
97	0.4538827479
98	0.4519194165
99	0.4503763772
100	0.4490552961
101	0.4462522598
102	0.4434776331
103	0.4427620056
104	0.4395628453
105	0.438250851
106	0.4368275735
107	0.4354205097
108	0.4330404809
109	0.4307517047
110	0.4296485775
111	0.4276112754
112	0.4257994198
113	0.4247600609
114	0.4240353344
115	0.4219456063
116	0.4197544114
117	0.4170322889
118	0.4157171993
119	0.4142413071
120	0.4116885144
121	0.4100229317
122	0.4076456867
123	0.4049195348
124	0.4031471356
125	0.4004721896
126	0.3980206694
127	0.3951009688
128	0.3934170448
129	0.3899548771
130	0.387765125
131	0.3860026867
132	0.3840886061
133	0.3820008833
134	0.3799334133
135	0.3784975024
136	0.3767880585
137	0.3752978699
138	0.3738556564
139	0.372334922
140	0.370496779
141	0.367961925
142	0.3667071866
143	0.3654292533
144	0.3641196336
145	0.361485851
146	0.359669237
147	0.3583948881
148	0.3563755026
149	0.35459499
150	0.3530071523
151	0.3518754367
152	0.3508009353
153	0.3493090799
154	0.3476730709
155	0.3461123452
156	0.3451135284
157	0.3439939499
158	0.3428588828
159	0.3415261943
160	0.3400826195
161	0.3387968031
162	0.3371754313
163	0.335420139
164	0.3345886589
165	0.3335826638
166	0.3326658227
167	0.331670633
168	0.3298005373
169	0.3276704077
170	0.326694432
171	0.3243283312
172	0.3230711827
173	0.3224068749
174	0.3201270367
175	0.318174861
176	0.3168765793
177	0.3143677173
178	0.3129479047
179	0.3120407772
180	0.3103965592
181	0.3091696401
182	0.307412622
183	0.306800995
184	0.3059033196
185	0.3042277564
186	0.3031324096
187	0.3021001561
188	0.3009875134
189	0.2999535084
190	0.2983575174
191	0.2974215223
192	0.2958132053
193	0.2938710269
