iter	Passed	Remaining
0	11	5764
1	22	5567
2	31	5287
3	41	5170
4	51	5139
5	64	5315
6	73	5205
7	83	5138
8	93	5076
9	102	5014
10	112	4979
11	121	4928
12	130	4900
13	140	4860
14	148	4804
15	157	4758
16	166	4725
17	175	4692
18	183	4637
19	192	4624
20	201	4595
21	210	4575
22	219	4545
23	227	4521
24	237	4506
25	245	4477
26	254	4465
27	263	4443
28	272	4429
29	281	4414
30	290	4396
31	299	4379
32	308	4359
33	317	4348
34	325	4326
35	334	4307
36	343	4298
37	352	4280
38	361	4268
39	369	4254
40	379	4251
41	390	4256
42	400	4254
43	409	4245
44	419	4237
45	428	4228
46	438	4231
47	448	4219
48	458	4218
49	467	4210
50	477	4200
51	486	4190
52	495	4176
53	503	4161
54	513	4152
55	522	4141
56	532	4137
57	541	4125
58	550	4112
59	559	4101
60	568	4091
61	577	4078
62	585	4064
63	595	4054
64	604	4043
65	613	4032
66	623	4027
67	632	4017
68	641	4004
69	651	4002
70	661	3999
71	670	3987
72	679	3976
73	688	3966
74	698	3958
75	707	3949
76	716	3938
77	726	3928
78	734	3913
79	743	3901
80	752	3890
81	760	3877
82	769	3865
83	778	3855
84	788	3851
85	799	3846
86	808	3835
87	818	3829
88	827	3819
89	836	3808
90	844	3795
91	853	3785
92	862	3773
93	871	3762
94	880	3752
95	889	3741
96	898	3732
97	908	3725
98	916	3713
99	925	3703
100	935	3694
101	944	3685
102	954	3679
103	965	3675
104	974	3666
105	984	3658
106	992	3646
107	1001	3636
108	1010	3625
109	1020	3617
110	1029	3608
111	1038	3598
112	1048	3591
113	1056	3578
114	1065	3568
115	1074	3557
116	1083	3545
117	1092	3537
118	1101	3527
119	1110	3516
120	1119	3508
121	1128	3497
122	1137	3487
123	1147	3479
124	1157	3472
125	1166	3463
126	1175	3452
127	1185	3446
128	1195	3439
129	1204	3429
130	1214	3420
131	1224	3412
132	1233	3403
133	1243	3395
134	1251	3384
135	1260	3373
136	1269	3364
137	1279	3355
138	1287	3343
139	1296	3334
140	1305	3324
141	1314	3314
142	1324	3307
143	1333	3297
144	1342	3286
145	1351	3277
146	1360	3267
147	1369	3256
148	1378	3246
149	1386	3235
150	1396	3226
151	1405	3218
152	1414	3209
153	1423	3198
154	1433	3190
155	1442	3181
156	1452	3173
157	1463	3167
158	1472	3158
159	1481	3148
160	1490	3139
161	1499	3129
162	1509	3120
163	1518	3111
164	1529	3105
165	1539	3096
166	1548	3088
167	1558	3078
168	1566	3069
169	1575	3058
170	1585	3050
171	1595	3041
172	1605	3033
173	1614	3025
174	1624	3016
175	1632	3006
176	1641	2996
177	1650	2985
178	1659	2975
179	1668	2966
180	1677	2955
181	1686	2946
182	1695	2936
183	1704	2927
184	1713	2918
185	1722	2908
186	1731	2898
187	1740	2888
188	1749	2879
189	1759	2869
190	1767	2859
191	1776	2850
192	1785	2840
193	1795	2831
194	1804	2822
195	1813	2813
196	1822	2803
197	1832	2794
198	1841	2785
199	1850	2776
200	1859	2766
201	1868	2756
202	1877	2746
203	1886	2737
204	1896	2729
205	1905	2719
206	1914	2709
207	1923	2700
208	1932	2690
209	1943	2683
210	1953	2675
211	1962	2665
212	1971	2656
213	1981	2647
214	1991	2639
215	2000	2630
216	2009	2620
217	2019	2611
218	2027	2602
219	2037	2592
220	2046	2583
221	2055	2573
222	2064	2563
223	2073	2554
224	2082	2545
225	2091	2535
226	2100	2526
227	2109	2516
228	2118	2506
229	2128	2498
230	2137	2489
231	2146	2479
232	2155	2469
233	2164	2459
234	2174	2452
235	2184	2444
236	2193	2434
237	2203	2425
238	2213	2417
239	2223	2408
240	2232	2398
241	2240	2388
242	2249	2379
243	2259	2370
244	2269	2361
245	2279	2353
246	2288	2344
247	2297	2334
248	2306	2324
249	2315	2315
250	2325	2306
251	2334	2297
252	2342	2287
253	2352	2278
254	2360	2268
255	2370	2259
256	2380	2250
257	2390	2241
258	2399	2232
259	2408	2223
260	2417	2213
261	2428	2205
262	2438	2197
263	2448	2189
264	2457	2179
265	2466	2169
266	2475	2160
267	2484	2150
268	2493	2141
269	2503	2132
270	2513	2123
271	2522	2114
272	2531	2104
273	2540	2095
274	2549	2085
275	2558	2076
276	2567	2066
277	2575	2056
278	2585	2047
279	2594	2038
280	2603	2029
281	2613	2020
282	2621	2010
283	2630	2000
284	2639	1991
285	2648	1981
286	2656	1971
287	2665	1962
288	2674	1952
289	2683	1943
290	2693	1934
291	2702	1924
292	2711	1915
293	2720	1906
294	2729	1896
295	2738	1887
296	2746	1877
297	2755	1868
298	2766	1859
299	2776	1850
300	2786	1842
301	2797	1834
302	2806	1824
303	2816	1815
304	2825	1806
305	2833	1796
306	2842	1786
307	2851	1777
308	2860	1767
309	2869	1758
310	2878	1749
311	2887	1739
312	2895	1730
313	2905	1720
314	2913	1711
315	2923	1702
316	2934	1693
317	2943	1684
318	2952	1675
319	2961	1665
320	2969	1656
321	2978	1646
322	2988	1637
323	2996	1627
324	3005	1618
325	3014	1609
326	3023	1599
327	3032	1590
328	3041	1580
329	3050	1571
330	3059	1562
331	3069	1553
332	3077	1543
333	3086	1534
334	3095	1524
335	3104	1515
336	3113	1506
337	3123	1496
338	3131	1487
339	3140	1478
340	3149	1468
341	3159	1459
342	3168	1450
343	3178	1441
344	3187	1431
345	3196	1422
346	3206	1413
347	3215	1404
348	3224	1395
349	3233	1385
350	3242	1376
351	3251	1367
352	3260	1357
353	3269	1348
354	3277	1338
355	3287	1329
356	3296	1320
357	3305	1311
358	3314	1301
359	3323	1292
360	3331	1282
361	3340	1273
362	3349	1264
363	3358	1254
364	3367	1245
365	3376	1236
366	3385	1226
367	3394	1217
368	3403	1208
369	3413	1199
370	3424	1190
371	3432	1181
372	3442	1172
373	3451	1162
374	3460	1153
375	3469	1144
376	3478	1134
377	3488	1125
378	3497	1116
379	3506	1107
380	3515	1098
381	3524	1088
382	3533	1079
383	3542	1070
384	3551	1060
385	3561	1051
386	3571	1042
387	3581	1033
388	3591	1024
389	3601	1015
390	3610	1006
391	3618	997
392	3627	987
393	3637	978
394	3645	968
395	3654	959
396	3663	950
397	3672	941
398	3682	932
399	3690	922
400	3700	913
401	3708	904
402	3717	894
403	3726	885
404	3735	876
405	3744	866
406	3752	857
407	3761	848
408	3770	839
409	3779	829
410	3789	820
411	3798	811
412	3807	802
413	3816	792
414	3826	783
415	3835	774
416	3844	765
417	3853	755
418	3862	746
419	3870	737
420	3879	728
421	3888	718
422	3897	709
423	3908	700
424	3917	691
425	3927	682
426	3936	672
427	3945	663
428	3955	654
429	3964	645
430	3974	636
431	3983	627
432	3992	617
433	4001	608
434	4010	599
435	4019	590
436	4028	580
437	4037	571
438	4046	562
439	4055	552
440	4064	543
441	4073	534
442	4082	525
443	4091	516
444	4100	506
445	4108	497
446	4117	488
447	4127	479
448	4135	469
449	4145	460
450	4154	451
451	4163	442
452	4172	432
453	4181	423
454	4189	414
455	4199	405
456	4207	395
457	4216	386
458	4225	377
459	4235	368
460	4243	359
461	4252	349
462	4261	340
463	4270	331
464	4279	322
465	4288	312
466	4297	303
467	4306	294
468	4315	285
469	4324	276
470	4333	266
471	4343	257
472	4352	248
473	4362	239
474	4371	230
475	4380	220
476	4391	211
477	4401	202
478	4411	193
479	4421	184
480	4429	174
481	4438	165
482	4447	156
483	4455	147
484	4465	138
485	4474	128
486	4483	119
487	4492	110
488	4502	101
489	4511	92
490	4521	82
491	4530	73
492	4538	64
493	4547	55
494	4556	46
495	4564	36
496	4573	27
497	4583	18
498	4592	9
499	4602	0
