fold,disease,auroc
0,obesity,1.0
0,t2d,0.882055507963978
0,hypertension,0.7889521641671928
0,cad,0.8307610631033863
0,ckd,0.7177844604517798
0,stroke,0.8045374886007691
0,osteoporosis,0.5
1,obesity,1.0
1,t2d,0.8973906732431999
1,hypertension,0.7653940173426909
1,cad,0.843685583357118
1,ckd,0.7707163639223088
1,stroke,0.7950125249795941
1,osteoporosis,0.5
2,obesity,1.0
2,t2d,0.8963471197446554
2,hypertension,0.7901350232713676
2,cad,0.8426199641295025
2,ckd,0.8188628214552249
2,stroke,0.8077167923289634
2,osteoporosis,0.5
3,obesity,1.0
3,t2d,0.8940332494340371
3,hypertension,0.7832928297755885
3,cad,0.8446973601596837
3,ckd,0.7844539905960252
3,stroke,0.8090983606557377
3,osteoporosis,0.5
4,obesity,1.0
4,t2d,0.8951560150146112
4,hypertension,0.7889163004195295
4,cad,0.8641745654869848
4,ckd,0.7771368622127631
4,stroke,0.788663338216389
4,osteoporosis,0.5
