fold,disease,auroc
0,obesity,0.999126864612654
0,t2d,0.819653103236827
0,hypertension,0.7308027231656454
0,cad,0.8118022771452373
0,ckd,0.7077732708581019
0,stroke,0.7434756750327107
0,osteoporosis,0.5
1,obesity,0.9993752457805837
1,t2d,0.8438549756826397
1,hypertension,0.7203905776274395
1,cad,0.858404290743031
1,ckd,0.7858002848330756
1,stroke,0.8099738945650032
1,osteoporosis,0.5
2,obesity,0.9991076654542415
2,t2d,0.83765773408114
2,hypertension,0.7231356866012839
2,cad,0.8167184165940041
2,ckd,0.7295483494470101
2,stroke,0.7376940471217035
2,osteoporosis,0.5
3,obesity,0.9995013613543245
3,t2d,0.8463545653669421
3,hypertension,0.7384573070607553
3,cad,0.83858974238832
3,ckd,0.7711462490733124
3,stroke,0.8106026108075288
3,osteoporosis,0.5
4,obesity,0.9994291471833249
4,t2d,0.8347389153125395
4,hypertension,0.7415628196111753
4,cad,0.8533327724703521
4,ckd,0.7715190325600985
4,stroke,0.7836939154467333
4,osteoporosis,0.5
