fold,disease,auroc
0,obesity,0.9994895679118244
0,t2d,0.8324193034154908
0,hypertension,0.7304851593024143
0,cad,0.8424228563960992
0,ckd,0.7445258409678999
0,stroke,0.7728337496530668
0,osteoporosis,0.5
1,obesity,0.9993465659963177
1,t2d,0.8351219111681456
1,hypertension,0.7140829827905472
1,cad,0.8437985602384803
1,ckd,0.7472691847308504
1,stroke,0.7757465732218751
1,osteoporosis,0.5
2,obesity,0.9986250470337389
2,t2d,0.839162603164141
2,hypertension,0.7340071705415734
2,cad,0.8254077965164501
2,ckd,0.7910982924926914
2,stroke,0.7702899848144243
2,osteoporosis,0.5
3,obesity,0.9994858854573785
3,t2d,0.8432603960618364
3,hypertension,0.7365336617405583
3,cad,0.8409910880790172
3,ckd,0.7733378017447115
3,stroke,0.820585913782635
3,osteoporosis,0.5
4,obesity,0.9987890173740979
4,t2d,0.8272361948312894
4,hypertension,0.7268482261510439
4,cad,0.8325325456324353
4,ckd,0.7554025547211954
4,stroke,0.7822173723844925
4,osteoporosis,0.5
